THE BACK HORN,Japan,,Group,1998-04,,"['Unknown']"
Ultraje a rigor,Brazil,,Group,1980,,"['Unknown']"
Poster Children,USA,,Group,1987,,"['Unknown']"
Sacred Reich,USA,,Group,1985,,"['Metal']"
Breathe Carolina,USA,,Group,2007,,"['Unknown']"
Guitar Wolf,Japan,,Group,1987,,"['Unknown']"
Rocky Votolato,USA,Male,Person,1977-03-08,,"['Unknown']"
The Duskfall,Sweden,,Group,1999,,"['Melodic','Metal']"
Saint Privat,Austria,,Group,2002,,"['Unknown']"
Cat Power,USA,Female,Person,1972-01-21,,"['Rock','Soul','Funk','Indie','Blues','Rhythm','Folk']"
Bauhaus,United Kingdom,,Group,1978,2008,"['Classic','Rock','Punk','Gothic','Pop']"
Louise Attaque,France,,Group,1994,,"['Unknown']"
Hi Ho Six Shooter!,Unknown,,Group,,,"['Unknown']"
Baustelle,Italy,,Group,1994,,"['Unknown']"
Deaf Center,Norway,,Group,2003,,"['Ambient']"
Robyn Hitchcock,United Kingdom,Male,Person,1953-03-03,,"['Folk','Country']"
Proof,USA,Male,Person,1975-10-02,2006-04-11,"['Unknown']"
Deluxe,Unknown,Male,Person,1977,,"['Unknown']"
Windsor for the Derby,USA,,Group,,,"['Rock']"
Modjo,France,,Group,1998,2002,"['Rock','Indie','House']"
Runic,Spain,,Group,2000,,"['Unknown']"
Ludacris,Unknown,Male,Person,1977-09-11,,"['Rap','Hip hop','Dance','Rnb']"
Madison Avenue,Australia,,Group,1999,2003,"['Unknown']"
Myleene Klass,United Kingdom,Female,Person,1978-04-06,,"['Classic']"
Кино,Russian Federation,,Group,1981,1990,"['Punk']"
Inja,United Kingdom,,Person,,,"['Unknown']"
Grabba Grabba Tape,Unknown,,Group,,,"['Unknown']"
AZ,Unknown,Male,Person,1972-03-09,,"['Unknown']"
Boredoms,Japan,,Group,1986,,"['Experimental','Rock','Psychedelic']"
Martin Solveig,France,Male,Person,1976-09-22,,"['Dance','Electro']"
Mike Jones,USA,Male,Person,1981-01-06,,"['Unknown']"
Papa Wemba,Democratic Republic of the Congo,Male,Person,1949-06-14,,"['Unknown']"
Vince DiCola,Unknown,Male,Person,1960,,"['Unknown']"
Kettel,Netherlands,,Person,,,"['Unknown']"
Charles & Eddie,USA,,Group,,,"['Rock','Pop','Classic']"
Mitchell Akiyama,Unknown,,Person,,,"['Dance','Electro']"
Freescha,Unknown,,Group,,,"['Unknown']"
Game,USA,Male,Person,1979-11-27,,"['Rap','Soul','Reggae','Hip hop']"
DBS,Unknown,,Person,,,"['Unknown']"
Reflex,Unknown,,,,,"['Unknown']"
X JAPAN,Japan,,Group,1982,,"['Progressive','Metal']"
Jimi Hendrix,USA,Male,Person,1942-11-27,1970-09-18,"['Classic','Rock','Psychedelic','Blues','Pop']"
Eef Barzelay,Israel,Male,Person,1970-05-12,,"['Unknown']"
Kubichek!,United Kingdom,,Group,2004,2008,"['Unknown']"
Burl Ives,USA,Male,Person,1909-06-14,1995-04-14,"['Rock','Pop','Classic']"
maudlin of the Well,USA,,Group,1996,,"['Unknown']"
Cold War Kids,USA,,Group,2004,,"['Rock','Indie','Alternative']"
Kyau & Albert,Germany,,Group,,,"['Trance','Vocal']"
The Venus in Furs,United Kingdom,,Group,1998,1998,"['Unknown']"
Eisley,USA,,Group,1998,,"['Unknown']"
V-Sinizter,Unknown,,,,,"['Unknown']"
Candan Erçetin,Turkey,Female,Person,1963-02-10,,"['Unknown']"
平野義久,Japan,Male,Person,,,"['Unknown']"
The Normal,United Kingdom,Male,Person,,,"['Unknown']"
Сплин,Russian Federation,,Group,1994-05-27,,"['Rock']"
La Phaze,France,,Group,1999,2012-12,"['Unknown']"
Pink Freud,Poland,,Group,,,"['Unknown']"
Band of Horses,USA,,Group,2004,,"['Rock','Indie']"
DJ Khaled,USA,Male,Person,1975-11-26,,"['Dance','Hip hop','Rnb']"
The Specials,United Kingdom,,Group,1977,,"['Rock','Pop','Classic','Ska']"
Fishing for Compliments,Unknown,,Group,,,"['Unknown']"
Clearlake,United Kingdom,,Group,2000-01,,"['Unknown']"
Green Day,USA,,Group,1989,,"['Classic','Ska','Rock','Alternative','Punk','Pop']"
Bedhead,USA,,Group,1992-01,1998-08-03,"['Unknown']"
Taxi Doll,USA,,Group,2004,,"['Unknown']"
Pecheur,Unknown,,Person,,,"['Unknown']"
